date,placeId,view
2023-10-06,5711811782636688456,325
2023-10-05,5711811782636688456,281
2023-10-04,5711811782636688456,323
2023-10-03,5711811782636688456,321
2023-10-02,5711811782636688456,300
2023-10-01,5711811782636688456,216
2023-09-30,5711811782636688456,305
2023-09-29,5711811782636688456,257
2023-09-28,5711811782636688456,313
2023-09-27,5711811782636688456,253
2023-09-26,5711811782636688456,270
2023-09-25,5711811782636688456,237
2023-09-24,5711811782636688456,242
2023-09-23,5711811782636688456,283
2023-09-22,5711811782636688456,302
2023-09-21,5711811782636688456,311
2023-09-20,5711811782636688456,224
2023-09-19,5711811782636688456,307
2023-09-18,5711811782636688456,227
2023-09-17,5711811782636688456,259
2023-09-16,5711811782636688456,234
2023-09-15,5711811782636688456,306
2023-09-14,5711811782636688456,287
2023-09-13,5711811782636688456,220
2023-09-12,5711811782636688456,236
2023-09-11,5711811782636688456,237
2023-09-10,5711811782636688456,214
2023-09-09,5711811782636688456,289
2023-09-08,5711811782636688456,301
2023-09-07,5711811782636688456,247
2023-09-06,5711811782636688456,246
2023-09-05,5711811782636688456,259
2023-09-04,5711811782636688456,298
2023-09-03,5711811782636688456,281
2023-09-02,5711811782636688456,221
2023-09-01,5711811782636688456,226
2023-08-31,5711811782636688456,213
2023-08-30,5711811782636688456,254
2023-08-29,5711811782636688456,268
2023-08-28,5711811782636688456,276
2023-08-27,5711811782636688456,346
2023-08-26,5711811782636688456,295
2023-08-25,5711811782636688456,319
2023-08-24,5711811782636688456,280
2023-08-23,5711811782636688456,258
2023-08-22,5711811782636688456,256
2023-08-21,5711811782636688456,261
2023-08-20,5711811782636688456,248
2023-08-19,5711811782636688456,315
2023-08-18,5711811782636688456,294
2023-08-17,5711811782636688456,303
2023-08-16,5711811782636688456,246
2023-08-15,5711811782636688456,271
2023-08-14,5711811782636688456,326
2023-08-13,5711811782636688456,290
2023-08-12,5711811782636688456,329
2023-08-11,5711811782636688456,304
2023-08-10,5711811782636688456,282
2023-08-09,5711811782636688456,334
2023-08-08,5711811782636688456,279
2023-08-07,5711811782636688456,310
2023-08-06,5711811782636688456,271
2023-08-05,5711811782636688456,276
2023-08-04,5711811782636688456,300
2023-08-03,5711811782636688456,309
2023-08-02,5711811782636688456,267
2023-08-01,5711811782636688456,320
2023-07-31,5711811782636688456,334
2023-07-30,5711811782636688456,312
2023-07-29,5711811782636688456,275
2023-07-28,5711811782636688456,385
2023-07-27,5711811782636688456,301
2023-07-26,5711811782636688456,244
2023-07-25,5711811782636688456,272
2023-07-24,5711811782636688456,214
2023-07-23,5711811782636688456,234
2023-07-22,5711811782636688456,339
2023-07-21,5711811782636688456,290
2023-07-20,5711811782636688456,271
2023-07-19,5711811782636688456,302
2023-07-18,5711811782636688456,289
2023-07-17,5711811782636688456,285
2023-07-16,5711811782636688456,262
2023-07-15,5711811782636688456,320
2023-07-14,5711811782636688456,353
2023-07-13,5711811782636688456,270
2023-07-12,5711811782636688456,273
2023-07-11,5711811782636688456,403
2023-07-10,5711811782636688456,230
2023-07-09,5711811782636688456,264
2023-07-08,5711811782636688456,310
2023-07-07,5711811782636688456,408
2023-07-06,5711811782636688456,288
2023-07-05,5711811782636688456,235
2023-07-04,5711811782636688456,344
2023-07-03,5711811782636688456,238
2023-07-02,5711811782636688456,263
2023-07-01,5711811782636688456,262
2023-06-30,5711811782636688456,306
2023-06-29,5711811782636688456,290
2023-06-28,5711811782636688456,249
2023-06-27,5711811782636688456,286
2023-06-26,5711811782636688456,297
2023-06-25,5711811782636688456,234
2023-06-24,5711811782636688456,317
2023-06-23,5711811782636688456,299
2023-06-22,5711811782636688456,315
2023-06-21,5711811782636688456,309
2023-06-20,5711811782636688456,279
2023-06-19,5711811782636688456,290
2023-06-18,5711811782636688456,294
2023-06-17,5711811782636688456,256
2023-06-16,5711811782636688456,277
2023-06-15,5711811782636688456,276
2023-06-14,5711811782636688456,257
2023-06-13,5711811782636688456,452
2023-06-12,5711811782636688456,417
2023-06-11,5711811782636688456,239
2023-06-10,5711811782636688456,336
2023-06-09,5711811782636688456,283
2023-06-08,5711811782636688456,262
2023-06-07,5711811782636688456,292
2023-06-06,5711811782636688456,277
2023-06-05,5711811782636688456,282
2023-06-04,5711811782636688456,298
