date,placeId,view
2023-10-06,4619948752817665977,33
2023-10-05,4619948752817665977,37
2023-10-04,4619948752817665977,36
2023-10-03,4619948752817665977,16
2023-10-02,4619948752817665977,12
2023-10-01,4619948752817665977,24
2023-09-30,4619948752817665977,46
2023-09-29,4619948752817665977,52
2023-09-28,4619948752817665977,46
2023-09-27,4619948752817665977,24
2023-09-26,4619948752817665977,26
2023-09-25,4619948752817665977,23
2023-09-24,4619948752817665977,23
2023-09-23,4619948752817665977,49
2023-09-22,4619948752817665977,32
2023-09-21,4619948752817665977,29
2023-09-20,4619948752817665977,22
2023-09-19,4619948752817665977,16
2023-09-18,4619948752817665977,17
2023-09-17,4619948752817665977,18
2023-09-16,4619948752817665977,40
2023-09-15,4619948752817665977,39
2023-09-14,4619948752817665977,26
2023-09-13,4619948752817665977,29
2023-09-12,4619948752817665977,24
2023-09-11,4619948752817665977,14
2023-09-10,4619948752817665977,16
2023-09-09,4619948752817665977,38
2023-09-08,4619948752817665977,36
2023-09-07,4619948752817665977,33
2023-09-06,4619948752817665977,13
2023-09-05,4619948752817665977,13
2023-09-04,4619948752817665977,14
2023-09-03,4619948752817665977,35
2023-09-02,4619948752817665977,36
2023-09-01,4619948752817665977,50
2023-08-31,4619948752817665977,49
2023-08-30,4619948752817665977,47
2023-08-29,4619948752817665977,26
2023-08-28,4619948752817665977,25
2023-08-27,4619948752817665977,20
2023-08-26,4619948752817665977,33
2023-08-25,4619948752817665977,32
2023-08-24,4619948752817665977,35
2023-08-23,4619948752817665977,35
2023-08-22,4619948752817665977,42
2023-08-21,4619948752817665977,30
2023-08-20,4619948752817665977,18
2023-08-19,4619948752817665977,40
2023-08-18,4619948752817665977,47
2023-08-17,4619948752817665977,35
2023-08-16,4619948752817665977,26
2023-08-15,4619948752817665977,42
2023-08-14,4619948752817665977,22
2023-08-13,4619948752817665977,24
2023-08-12,4619948752817665977,38
2023-08-11,4619948752817665977,41
2023-08-10,4619948752817665977,43
2023-08-09,4619948752817665977,22
2023-08-08,4619948752817665977,20
2023-08-07,4619948752817665977,34
2023-08-06,4619948752817665977,33
2023-08-05,4619948752817665977,50
2023-08-04,4619948752817665977,35
2023-08-03,4619948752817665977,33
2023-08-02,4619948752817665977,27
2023-08-01,4619948752817665977,27
2023-07-31,4619948752817665977,18
2023-07-30,4619948752817665977,24
2023-07-29,4619948752817665977,33
2023-07-28,4619948752817665977,37
2023-07-27,4619948752817665977,34
2023-07-26,4619948752817665977,38
2023-07-25,4619948752817665977,25
2023-07-24,4619948752817665977,22
2023-07-23,4619948752817665977,24
2023-07-22,4619948752817665977,62
2023-07-21,4619948752817665977,41
2023-07-20,4619948752817665977,35
2023-07-19,4619948752817665977,16
2023-07-18,4619948752817665977,21
2023-07-17,4619948752817665977,30
2023-07-16,4619948752817665977,22
2023-07-15,4619948752817665977,27
2023-07-14,4619948752817665977,42
2023-07-13,4619948752817665977,27
2023-07-12,4619948752817665977,23
2023-07-11,4619948752817665977,20
2023-07-10,4619948752817665977,19
2023-07-09,4619948752817665977,21
2023-07-08,4619948752817665977,38
2023-07-07,4619948752817665977,39
2023-07-06,4619948752817665977,34
2023-07-05,4619948752817665977,22
2023-07-04,4619948752817665977,29
2023-07-03,4619948752817665977,20
2023-07-02,4619948752817665977,29
2023-07-01,4619948752817665977,39
2023-06-30,4619948752817665977,30
2023-06-29,4619948752817665977,35
