date,view
2022-06-22,4.61E-01
2022-06-23,4.18E-01
2022-06-24,7.65E-01
2022-06-25,5.55E-01
2022-06-26,3.88E-01
2022-06-27,4.41E-01
2022-06-28,4.41E-01
2022-06-29,4.38E-01
2022-06-30,4.71E-01
2022-07-01,6.78E-01
2022-07-02,6.95E-01
2022-07-03,3.26E-01
2022-07-04,3.89E-01
2022-07-05,5.38E-01
2022-07-06,3.69E-01
2022-07-07,4.43E-01
2022-07-08,4.36E-01
2022-07-09,6.19E-01
2022-07-10,3.57E-01
2022-07-11,3.38E-01
2022-07-12,3.41E-01
2022-07-13,2.57E-01
2022-07-14,3.09E-01
2022-07-15,4.23E-01
2022-07-16,5.69E-01
2022-07-17,3.93E-01
2022-07-18,3.93E-01
2022-07-19,3.93E-01
2022-07-20,5.10E-01
2022-07-21,4.17E-01
2022-07-22,3.91E-01
2022-07-23,7.06E-01
2022-07-24,1.62E-01
2022-07-25,2.95E-01
2022-07-26,3.58E-01
2022-07-27,3.16E-01
2022-07-28,3.76E-01
2022-07-29,4.30E-01
2022-07-30,4.72E-01
2022-07-31,1.65E-01
2022-08-01,2.28E-01
2022-08-02,2.28E-01
2022-08-03,2.33E-01
2022-08-04,3.49E-01
2022-08-05,3.24E-01
2022-08-06,4.15E-01
2022-08-07,2.18E-01
2022-08-08,2.30E-01
2022-08-09,3.47E-01
2022-08-10,2.77E-01
2022-08-11,3.11E-01
2022-08-12,4.02E-01
2022-08-13,3.90E-01
2022-08-14,2.64E-01
2022-08-15,2.78E-01
2022-08-16,1.90E-01
2022-08-17,3.19E-01
2022-08-18,3.19E-01
2022-08-19,3.19E-01
2022-08-20,3.19E-01
2022-08-21,3.19E-01
2022-08-22,3.43E-01
2022-08-23,2.73E-01
2022-08-24,2.70E-01
2022-08-25,3.09E-01
2022-08-26,3.06E-01
2022-08-27,3.55E-01
2022-08-28,2.41E-01
2022-08-29,2.94E-01
2022-08-30,2.94E-01
2022-08-31,3.30E-01
2022-09-01,5.30E-01
2022-09-02,3.81E-01
2022-09-03,4.13E-01
2022-09-04,1.84E-01
2022-09-05,2.33E-01
2022-09-06,2.33E-01
2022-09-07,2.33E-01
2022-09-08,2.26E-01
2022-09-09,5.03E-01
2022-09-10,4.48E-01
2022-09-11,2.20E-01
2022-09-12,2.33E-01
2022-09-13,2.08E-01
2022-09-14,2.98E-01
2022-09-15,2.76E-01
2022-09-16,4.26E-01
2022-09-17,5.37E-01
2022-09-18,1.93E-01
2022-09-19,2.09E-01
2022-09-20,1.46E-01
2022-09-21,2.57E-01
2022-09-22,2.19E-01
2022-09-23,4.24E-01
2022-09-24,4.91E-01
2022-09-25,1.20E-01
2022-09-26,2.09E-01
2022-09-27,2.15E-01
2022-09-28,3.06E-01
2022-09-29,2.87E-01
2022-09-30,4.29E-01
2022-10-01,7.12E-01
2022-10-02,2.05E-01
2022-10-03,2.64E-01
2022-10-04,1.58E-01
2022-10-05,2.25E-01
2022-10-06,3.04E-01
2022-10-07,5.37E-01
2022-10-08,3.58E-01
2022-10-09,1.24E-01
2022-10-10,2.11E-01
2022-10-11,2.94E-01
2022-10-12,1.78E-01
2022-10-13,2.16E-01
2022-10-14,3.75E-01
2022-10-15,4.15E-01
2022-10-16,1.30E-01
2022-10-17,2.27E-01
2022-10-18,2.42E-01
2022-10-19,5.37E-01
2022-10-20,3.47E-01
2022-10-21,2.82E-01
2022-10-22,3.05E-01
2022-10-23,2.65E-01
2022-10-24,2.50E-01
2022-10-25,2.79E-01
2022-10-26,3.20E-01
2022-10-27,3.20E-01
2022-10-28,4.50E-01
2022-10-29,3.98E-01
2022-10-30,3.11E-01
2022-10-31,2.91E-01
2022-11-01,1.69E-01
2022-11-02,2.18E-01
2022-11-03,1.99E-01
2022-11-04,4.23E-01
2022-11-05,4.30E-01
