date,view
2022-06-22,4.08E-01
2022-06-23,4.12E-01
2022-06-24,2.41E-01
2022-06-25,2.00E-01
2022-06-26,3.88E-01
2022-06-27,3.94E-01
2022-06-28,3.70E-01
2022-06-29,4.30E-01
2022-06-30,3.75E-01
2022-07-01,2.16E-01
2022-07-02,1.78E-01
2022-07-03,2.11E-01
2022-07-04,2.28E-01
2022-07-05,3.03E-01
2022-07-06,2.83E-01
2022-07-07,2.86E-01
2022-07-08,1.52E-01
2022-07-09,1.31E-01
2022-07-10,2.22E-01
2022-07-11,2.28E-01
2022-07-12,2.42E-01
2022-07-13,2.28E-01
2022-07-14,2.66E-01
2022-07-15,1.86E-01
2022-07-16,1.38E-01
2022-07-17,2.31E-01
2022-07-18,2.89E-01
2022-07-19,2.89E-01
2022-07-20,2.31E-01
2022-07-21,3.14E-01
2022-07-22,1.98E-01
2022-07-23,1.78E-01
2022-07-24,2.83E-01
2022-07-25,2.42E-01
2022-07-26,2.94E-01
2022-07-27,2.30E-01
2022-07-28,3.05E-01
2022-07-29,2.17E-01
2022-07-30,1.41E-01
2022-07-31,1.64E-01
2022-08-01,1.91E-01
2022-08-02,3.02E-01
2022-08-03,2.53E-01
2022-08-04,2.70E-01
2022-08-05,1.69E-01
2022-08-06,1.66E-01
2022-08-07,3.52E-01
2022-08-08,2.55E-01
2022-08-09,3.38E-01
2022-08-10,3.00E-01
2022-08-11,3.50E-01
2022-08-12,2.03E-01
2022-08-13,1.34E-01
2022-08-14,2.84E-01
2022-08-15,2.97E-01
2022-08-16,5.78E-02
2022-08-17,9.38E-03
2022-08-18,2.83E-01
2022-08-19,1.89E-01
2022-08-20,1.78E-01
2022-08-21,2.77E-01
2022-08-22,2.67E-01
2022-08-23,3.53E-01
2022-08-24,2.63E-01
2022-08-25,3.25E-01
2022-08-26,2.27E-01
2022-08-27,1.70E-01
2022-08-28,2.61E-01
2022-08-29,2.39E-01
2022-08-30,2.38E-01
2022-08-31,1.09E-01
2022-09-01,7.34E-02
2022-09-02,1.03E-01
2022-09-03,1.31E-01
2022-09-04,6.08E-01
2022-09-05,7.92E-01
2022-09-06,6.31E-01
2022-09-07,8.92E-01
2022-09-08,6.91E-01
2022-09-09,3.44E-01
2022-09-10,1.89E-01
2022-09-11,5.83E-01
2022-09-12,6.16E-01
2022-09-13,5.70E-01
2022-09-14,6.77E-01
2022-09-15,6.08E-01
2022-09-16,4.12E-01
2022-09-17,2.27E-01
2022-09-18,6.06E-01
2022-09-19,6.75E-01
2022-09-20,2.22E-01
2022-09-21,5.72E-01
2022-09-22,5.64E-01
2022-09-23,3.50E-01
2022-09-24,1.14E-01
2022-09-25,5.98E-01
2022-09-26,6.98E-01
2022-09-27,6.66E-01
2022-09-28,6.75E-01
2022-09-29,6.27E-01
2022-09-30,3.95E-01
2022-10-01,1.95E-01
2022-10-02,7.05E-01
2022-10-03,7.63E-01
2022-10-04,7.70E-01
2022-10-05,7.87E-01
2022-10-06,7.56E-01
2022-10-07,5.36E-01
2022-10-08,2.19E-01
2022-10-09,7.59E-01
2022-10-10,8.00E-01
2022-10-11,8.08E-01
2022-10-12,7.28E-01
2022-10-13,7.13E-01
2022-10-14,6.25E-01
2022-10-15,2.05E-01
2022-10-16,7.69E-01
2022-10-17,8.39E-01
2022-10-18,7.03E-01
2022-10-19,7.34E-01
2022-10-20,6.77E-01
2022-10-21,5.14E-01
2022-10-22,1.97E-01
2022-10-23,7.48E-01
2022-10-24,7.28E-01
2022-10-25,6.47E-01
2022-10-26,6.58E-01
2022-10-27,6.80E-01
2022-10-28,5.37E-01
2022-10-29,2.48E-01
2022-10-30,6.45E-01
2022-10-31,7.56E-01
2022-11-01,7.06E-01
2022-11-02,6.30E-01
2022-11-03,7.59E-01
2022-11-04,5.70E-01
2022-11-05,1.47E-01
2022-11-06,7.39E-01
2022-11-07,6.73E-01
2022-11-08,7.52E-01
2022-11-09,7.41E-01
2022-11-10,6.94E-01
2022-11-11,6.19E-01
2022-11-12,1.58E-01
2022-11-13,6.08E-01
2022-11-14,6.27E-01
2022-11-15,6.84E-01
2022-11-16,7.25E-01
2022-11-17,6.97E-01
2022-11-18,5.97E-01
2022-11-19,1.42E-01
2022-11-20,6.17E-01
2022-11-21,7.61E-01
2022-11-22,6.80E-01
2022-11-23,6.27E-01
2022-11-24,7.13E-01
2022-11-25,5.83E-01
2022-11-26,2.22E-01
2022-11-27,5.77E-01
2022-11-28,5.81E-01
2022-11-29,5.66E-01
2022-11-30,6.69E-01
2022-12-01,5.58E-01
2022-12-02,5.36E-01
2022-12-03,1.91E-01
2022-12-04,6.42E-01
2022-12-05,6.19E-01
2022-12-06,6.34E-01
2022-12-07,6.00E-01
2022-12-08,7.11E-01
2022-12-09,5.59E-01
2022-12-10,1.80E-01
2022-12-11,5.95E-01
2022-12-12,5.72E-01
2022-12-13,6.25E-01
2022-12-14,6.86E-01
2022-12-15,7.27E-01
2022-12-16,6.30E-01
2022-12-17,1.83E-01
2022-12-18,6.28E-01
2022-12-19,5.55E-01
2022-12-20,4.80E-01
2022-12-21,5.83E-01
2022-12-22,5.37E-01
2022-12-23,5.53E-01
2022-12-24,1.98E-01
2022-12-25,5.23E-01
2022-12-26,4.23E-01
2022-12-27,4.09E-01
2022-12-28,2.50E-01
2022-12-29,3.36E-01
2022-12-30,2.50E-01
2022-12-31,1.30E-01
2023-01-01,2.09E-01
2023-01-02,4.53E-01
2023-01-03,3.33E-01
2023-01-04,4.27E-01
2023-01-05,3.11E-01
2023-01-06,2.20E-01
2023-01-07,2.14E-01
2023-01-08,2.45E-01
2023-01-09,2.08E-01
2023-01-10,2.14E-01
2023-01-11,2.47E-01
2023-01-12,1.86E-01
2023-01-13,1.56E-01
2023-01-14,1.17E-01
2023-01-15,1.89E-01
2023-01-16,1.42E-01
2023-01-17,1.03E-01
2023-01-18,1.72E-02
2023-01-19,1.09E-02
2023-01-20,0.00E+00
2023-01-21,0.00E+00
2023-01-22,4.69E-03
2023-01-23,1.41E-02
2023-01-24,8.59E-03
2023-01-25,3.13E-03
2023-01-26,4.22E-02
2023-01-27,7.19E-02
2023-01-28,1.03E-01
2023-01-29,1.36E-01
2023-01-30,1.31E-01
2023-01-31,2.05E-01
2023-02-01,1.77E-01
2023-02-02,2.33E-01
2023-02-03,1.58E-01
2023-02-04,1.64E-01
2023-02-05,6.42E-01
2023-02-06,6.39E-01
2023-02-07,6.30E-01
2023-02-08,5.77E-01
2023-02-09,7.41E-01
2023-02-10,5.34E-01
2023-02-11,2.06E-01
2023-02-12,5.81E-01
2023-02-13,5.41E-01
2023-02-14,7.48E-01
2023-02-15,7.83E-01
2023-02-16,5.83E-01
2023-02-17,5.34E-01
2023-02-18,1.63E-01
