date,view
2022-06-22,5.75E-01
2022-06-23,4.13E-01
2022-06-24,3.67E-01
2022-06-25,6.04E-01
2022-06-26,5.11E-01
2022-06-27,5.06E-01
2022-06-28,5.06E-01
2022-06-29,5.11E-01
2022-06-30,5.00E-01
2022-07-01,4.68E-01
2022-07-02,7.32E-01
2022-07-03,4.92E-01
2022-07-04,5.76E-01
2022-07-05,4.06E-01
2022-07-06,4.37E-01
2022-07-07,6.32E-01
2022-07-08,3.18E-01
2022-07-09,4.37E-01
2022-07-10,4.22E-01
2022-07-11,4.66E-01
2022-07-12,3.53E-01
2022-07-13,6.05E-01
2022-07-14,4.54E-01
2022-07-15,4.88E-01
2022-07-16,4.32E-01
2022-07-17,4.59E-01
2022-07-18,4.59E-01
2022-07-19,4.59E-01
2022-07-20,4.59E-01
2022-07-21,4.59E-01
2022-07-22,4.59E-01
2022-07-23,4.59E-01
2022-07-24,4.93E-01
2022-07-25,4.48E-01
2022-07-26,4.59E-01
2022-07-27,4.59E-01
2022-07-28,4.59E-01
2022-07-29,5.12E-01
2022-07-30,4.57E-01
2022-07-31,2.91E-01
2022-08-01,3.91E-01
2022-08-02,4.57E-01
2022-08-03,4.57E-01
2022-08-04,5.20E-01
2022-08-05,3.59E-01
2022-08-06,4.54E-01
2022-08-07,4.44E-01
2022-08-08,4.44E-01
2022-08-09,4.71E-01
2022-08-10,3.17E-01
2022-08-11,4.66E-01
2022-08-12,6.58E-01
2022-08-13,6.22E-01
2022-08-14,4.14E-01
2022-08-15,4.73E-01
2022-08-16,6.07E-01
2022-08-17,5.92E-01
2022-08-18,6.79E-01
2022-08-19,5.70E-01
2022-08-20,4.67E-01
2022-08-21,6.49E-01
2022-08-22,5.47E-01
2022-08-23,5.34E-01
2022-08-24,5.58E-01
2022-08-25,5.58E-01
2022-08-26,7.66E-01
2022-08-27,5.22E-01
2022-08-28,6.20E-01
2022-08-29,7.49E-01
2022-08-30,6.24E-01
2022-08-31,3.49E-01
2022-09-01,2.96E-01
2022-09-02,4.17E-01
2022-09-03,4.19E-01
2022-09-04,7.11E-01
2022-09-05,4.96E-01
2022-09-06,4.93E-01
2022-09-07,3.31E-01
2022-09-08,6.49E-01
2022-09-09,6.28E-01
2022-09-10,5.32E-01
2022-09-11,5.20E-01
2022-09-12,6.48E-01
2022-09-13,5.44E-01
2022-09-14,5.82E-01
2022-09-15,5.94E-01
2022-09-16,7.90E-01
2022-09-17,5.96E-01
2022-09-18,5.65E-01
2022-09-19,5.68E-01
2022-09-20,5.44E-01
2022-09-21,6.07E-01
2022-09-22,5.27E-01
2022-09-23,7.78E-01
2022-09-24,5.72E-01
2022-09-25,5.03E-01
2022-09-26,5.70E-01
2022-09-27,4.67E-01
2022-09-28,5.28E-01
2022-09-29,5.37E-01
2022-09-30,5.37E-01
2022-10-01,5.46E-01
2022-10-02,5.25E-01
2022-10-03,5.81E-01
2022-10-04,5.20E-01
2022-10-05,5.49E-01
2022-10-06,5.20E-01
2022-10-07,6.40E-01
2022-10-08,5.47E-01
2022-10-09,4.54E-01
2022-10-10,5.42E-01
2022-10-11,5.15E-01
2022-10-12,5.01E-01
2022-10-13,5.48E-01
2022-10-14,6.91E-01
2022-10-15,2.95E-01
2022-10-16,4.99E-01
2022-10-17,6.41E-01
2022-10-18,5.39E-01
2022-10-19,4.88E-01
2022-10-20,4.41E-01
2022-10-21,6.46E-01
2022-10-22,5.51E-01
2022-10-23,5.21E-01
2022-10-24,5.50E-01
2022-10-25,5.50E-01
2022-10-26,5.50E-01
2022-10-27,5.50E-01
2022-10-28,5.50E-01
2022-10-29,6.75E-01
2022-10-30,4.33E-01
2022-10-31,5.80E-01
2022-11-01,5.65E-01
2022-11-02,5.52E-01
2022-11-03,6.09E-01
2022-11-04,7.54E-01
2022-11-05,5.04E-01
2022-11-06,5.04E-01
2022-11-07,4.59E-01
2022-11-08,6.71E-01
2022-11-09,5.67E-01
2022-11-10,5.40E-01
2022-11-11,5.43E-01
2022-11-12,5.60E-01
2022-11-13,4.99E-01
2022-11-14,5.73E-01
2022-11-15,5.59E-01
2022-11-16,5.59E-01
2022-11-17,5.59E-01
2022-11-18,5.59E-01
2022-11-19,6.87E-01
2022-11-20,5.15E-01
2022-11-21,5.14E-01
2022-11-22,5.33E-01
2022-11-23,4.87E-01
2022-11-24,5.12E-01
2022-11-25,5.12E-01
2022-11-26,5.12E-01
2022-11-27,5.12E-01
2022-11-28,4.98E-01
2022-11-29,6.42E-01
2022-11-30,4.88E-01
2022-12-01,4.05E-01
2022-12-02,4.51E-01
2022-12-03,4.87E-01
2022-12-04,4.06E-01
2022-12-05,4.89E-01
2022-12-06,4.04E-01
2022-12-07,6.72E-01
2022-12-08,4.12E-01
2022-12-09,5.25E-01
2022-12-10,5.06E-01
