date,view
2022-06-22,4.98E-01
2022-06-23,6.96E-01
2022-06-24,7.45E-01
2022-06-25,8.42E-01
2022-06-26,4.51E-01
2022-06-27,6.05E-01
2022-06-28,5.16E-01
2022-06-29,5.52E-01
2022-06-30,5.04E-01
2022-07-01,4.89E-01
2022-07-02,6.87E-01
2022-07-03,3.94E-01
2022-07-04,2.76E-01
2022-07-05,4.87E-01
2022-07-06,4.31E-01
2022-07-07,5.49E-01
2022-07-08,5.08E-01
2022-07-09,5.24E-01
2022-07-10,3.92E-01
2022-07-11,3.14E-01
2022-07-12,2.82E-01
2022-07-13,3.61E-01
2022-07-14,4.25E-01
2022-07-15,6.41E-01
2022-07-16,7.46E-01
2022-07-17,4.84E-01
2022-07-18,4.03E-01
2022-07-19,4.03E-01
2022-07-20,4.07E-01
2022-07-21,3.45E-01
2022-07-22,5.29E-01
2022-07-23,6.50E-01
2022-07-24,3.20E-01
2022-07-25,4.34E-01
2022-07-26,4.05E-01
2022-07-27,4.14E-01
2022-07-28,4.64E-01
2022-07-29,6.22E-01
2022-07-30,6.85E-01
2022-07-31,1.65E-01
2022-08-01,2.55E-01
2022-08-02,3.53E-01
2022-08-03,4.14E-01
2022-08-04,4.53E-01
2022-08-05,3.97E-01
2022-08-06,6.40E-01
2022-08-07,3.63E-01
2022-08-08,2.92E-01
2022-08-09,2.54E-01
2022-08-10,1.84E-01
2022-08-11,3.70E-01
2022-08-12,6.70E-01
2022-08-13,7.23E-01
2022-08-14,3.69E-01
2022-08-15,3.36E-01
2022-08-16,4.55E-01
2022-08-17,5.18E-01
2022-08-18,4.11E-01
2022-08-19,6.50E-01
2022-08-20,4.56E-01
2022-08-21,4.35E-01
2022-08-22,4.63E-01
2022-08-23,4.63E-01
2022-08-24,3.50E-01
2022-08-25,7.12E-01
2022-08-26,8.42E-01
2022-08-27,6.85E-01
2022-08-28,4.19E-01
2022-08-29,4.22E-01
2022-08-30,5.30E-01
2022-08-31,5.07E-01
2022-09-01,5.07E-01
2022-09-02,6.88E-01
2022-09-03,5.22E-01
2022-09-04,4.30E-01
2022-09-05,3.79E-01
2022-09-06,3.91E-01
2022-09-07,2.95E-01
2022-09-08,6.25E-01
2022-09-09,9.01E-01
2022-09-10,6.86E-01
2022-09-11,3.43E-01
2022-09-12,4.53E-01
2022-09-13,5.78E-01
2022-09-14,4.14E-01
2022-09-15,4.91E-01
2022-09-16,8.90E-01
2022-09-17,6.93E-01
2022-09-18,3.58E-01
2022-09-19,5.49E-01
2022-09-20,3.71E-01
2022-09-21,4.39E-01
2022-09-22,3.93E-01
2022-09-23,6.62E-01
2022-09-24,5.95E-01
2022-09-25,3.49E-01
2022-09-26,2.83E-01
2022-09-27,6.30E-01
2022-09-28,2.56E-01
2022-09-29,5.97E-01
2022-09-30,4.57E-01
2022-10-01,5.68E-01
2022-10-02,2.54E-01
2022-10-03,3.50E-01
2022-10-04,3.84E-01
2022-10-05,2.70E-01
2022-10-06,3.55E-01
2022-10-07,6.26E-01
2022-10-08,4.99E-01
2022-10-09,2.30E-01
2022-10-10,2.35E-01
2022-10-11,3.49E-01
2022-10-12,3.39E-01
2022-10-13,3.91E-01
2022-10-14,6.87E-01
2022-10-15,6.28E-01
2022-10-16,3.30E-01
2022-10-17,2.94E-01
2022-10-18,3.05E-01
2022-10-19,3.86E-01
2022-10-20,2.51E-01
2022-10-21,5.13E-01
2022-10-22,5.70E-01
2022-10-23,2.81E-01
2022-10-24,1.56E-01
2022-10-25,1.95E-01
2022-10-26,2.47E-01
2022-10-27,4.82E-01
2022-10-28,5.33E-01
2022-10-29,6.90E-01
2022-10-30,3.21E-01
2022-10-31,3.21E-01
2022-11-01,2.22E-01
2022-11-02,2.75E-01
2022-11-03,4.26E-01
2022-11-04,6.20E-01
2022-11-05,5.76E-01
2022-11-06,4.10E-01
2022-11-07,2.03E-01
2022-11-08,4.98E-01
2022-11-09,4.55E-01
2022-11-10,4.60E-01
2022-11-11,5.61E-01
2022-11-12,6.29E-01
2022-11-13,3.56E-01
2022-11-14,3.86E-01
2022-11-15,4.65E-01
2022-11-16,4.26E-01
2022-11-17,5.35E-01
2022-11-18,5.80E-01
2022-11-19,6.74E-01
2022-11-20,2.39E-01
2022-11-21,4.60E-01
2022-11-22,3.80E-01
2022-11-23,5.20E-01
2022-11-24,4.11E-01
2022-11-25,6.03E-01
2022-11-26,7.32E-01
2022-11-27,4.05E-01
2022-11-28,4.99E-01
2022-11-29,4.85E-01
2022-11-30,3.27E-01
2022-12-01,4.62E-01
2022-12-02,6.37E-01
2022-12-03,5.82E-01
2022-12-04,3.35E-01
2022-12-05,4.31E-01
2022-12-06,4.20E-01
2022-12-07,2.54E-01
2022-12-08,4.37E-01
2022-12-09,5.18E-01
2022-12-10,5.56E-01
2022-12-11,3.82E-01
2022-12-12,4.00E-01
2022-12-13,4.00E-01
2022-12-14,3.48E-01
2022-12-15,3.09E-01
2022-12-16,5.58E-01
2022-12-17,4.40E-01
2022-12-18,2.03E-01
2022-12-19,3.38E-01
2022-12-20,2.90E-01
2022-12-21,2.96E-01
2022-12-22,3.86E-01
2022-12-23,6.02E-01
2022-12-24,3.80E-01
2022-12-25,3.14E-01
2022-12-26,3.79E-01
2022-12-27,2.10E-01
2022-12-28,3.61E-01
2022-12-29,4.83E-01
2022-12-30,4.49E-01
2022-12-31,4.42E-01
2023-01-01,5.63E-01
2023-01-02,2.24E-01
2023-01-03,3.23E-01
2023-01-04,3.50E-01
2023-01-05,3.26E-01
2023-01-06,3.26E-01
2023-01-07,3.56E-01
2023-01-08,2.61E-01
2023-01-09,2.97E-01
2023-01-10,1.71E-01
2023-01-11,3.48E-01
2023-01-12,2.49E-01
2023-01-13,4.02E-01
2023-01-14,3.76E-01
2023-01-15,2.44E-01
2023-01-16,2.12E-01
2023-01-17,2.73E-01
2023-01-18,8.09E-02
2023-01-19,2.93E-01
2023-01-20,1.93E-01
2023-01-21,3.29E-01
2023-01-22,4.31E-01
2023-01-23,4.15E-01
2023-01-24,4.15E-01
2023-01-25,5.92E-01
2023-01-26,3.71E-01
2023-01-27,5.60E-01
2023-01-28,5.60E-01
2023-01-29,2.98E-01
2023-01-30,2.57E-01
2023-01-31,2.89E-01
2023-02-01,1.97E-01
2023-02-02,3.11E-01
2023-02-03,5.09E-01
2023-02-04,4.83E-01
2023-02-05,2.89E-01
2023-02-06,3.12E-01
2023-02-07,2.35E-01
2023-02-08,3.86E-01
2023-02-09,3.26E-01
2023-02-10,5.67E-01
2023-02-11,5.30E-01
2023-02-12,3.09E-01
2023-02-13,6.33E-01
2023-02-14,2.62E-01
2023-02-15,3.16E-01
2023-02-16,3.40E-01
2023-02-17,5.64E-01
2023-02-18,3.87E-01
2023-02-19,2.54E-01
2023-02-20,3.13E-01
2023-02-21,3.13E-01
2023-02-22,3.29E-01
2023-02-23,4.58E-01
2023-02-24,6.46E-01
2023-02-25,7.85E-01
2023-02-26,3.22E-01
2023-02-27,4.12E-01
2023-02-28,4.43E-01
2023-03-01,2.92E-01
2023-03-02,3.57E-01
2023-03-03,6.59E-01
2023-03-04,6.20E-01
2023-03-05,3.37E-01
2023-03-06,4.27E-01
2023-03-07,5.83E-01
2023-03-08,3.31E-01
2023-03-09,4.12E-01
2023-03-10,5.97E-01
2023-03-11,7.37E-01
2023-03-12,2.92E-01
2023-03-13,4.64E-01
2023-03-14,3.05E-01
2023-03-15,4.53E-01
2023-03-16,3.22E-01
2023-03-17,5.58E-01
2023-03-18,4.39E-01
2023-03-19,3.75E-01
2023-03-20,4.19E-01
2023-03-21,4.19E-01
2023-03-22,4.29E-01
2023-03-23,3.82E-01
2023-03-24,5.79E-01
2023-03-25,7.72E-01
2023-03-26,3.46E-01
2023-03-27,2.85E-01
2023-03-28,2.84E-01
2023-03-29,2.95E-01
2023-03-30,3.31E-01
2023-03-31,4.90E-01
2023-04-01,5.97E-01
2023-04-02,3.19E-01
2023-04-03,3.98E-01
2023-04-04,3.55E-01
2023-04-05,3.76E-01
2023-04-06,3.50E-01
2023-04-07,4.78E-01
2023-04-08,4.20E-01
2023-04-09,2.55E-01
2023-04-10,2.94E-01
2023-04-11,3.22E-01
2023-04-12,3.22E-01
2023-04-13,3.19E-01
2023-04-14,4.48E-01
2023-04-15,5.26E-01
2023-04-16,3.28E-01
2023-04-17,3.82E-01
2023-04-18,3.73E-01
2023-04-19,3.73E-01
2023-04-20,3.65E-01
2023-04-21,4.20E-01
2023-04-22,5.44E-01
2023-04-23,3.15E-01
2023-04-24,2.85E-01
2023-04-25,3.80E-01
2023-04-26,3.72E-01
2023-04-27,3.72E-01
2023-04-28,3.72E-01
2023-04-29,3.72E-01
2023-04-30,3.72E-01
2023-05-01,3.72E-01
2023-05-02,3.72E-01
2023-05-03,3.41E-01
2023-05-04,3.73E-01
2023-05-05,4.31E-01
2023-05-06,4.78E-01
2023-05-07,1.87E-01
2023-05-08,2.81E-01
2023-05-09,2.81E-01
2023-05-10,3.33E-01
2023-05-11,3.33E-01
2023-05-12,3.97E-01
2023-05-13,3.83E-01
2023-05-14,2.85E-01
2023-05-15,3.86E-01
2023-05-16,3.22E-01
2023-05-17,5.48E-01
2023-05-18,4.53E-01
2023-05-19,5.57E-01
2023-05-20,6.28E-01
2023-05-21,4.27E-01
2023-05-22,3.87E-01
2023-05-23,3.87E-01
2023-05-24,2.61E-01
2023-05-25,3.21E-01
2023-05-26,5.08E-01
2023-05-27,4.94E-01
2023-05-28,3.02E-01
2023-05-29,3.94E-01
2023-05-30,3.84E-01
2023-05-31,4.54E-01
2023-06-01,6.02E-01
2023-06-02,6.05E-01
2023-06-03,7.37E-01
2023-06-04,4.78E-01
2023-06-05,3.59E-01
2023-06-06,5.19E-01
2023-06-07,5.43E-01
2023-06-08,4.42E-01
2023-06-09,7.05E-01
2023-06-10,6.28E-01
2023-06-11,3.71E-01
2023-06-12,4.16E-01
2023-06-13,4.09E-01
2023-06-14,2.90E-01
2023-06-15,5.13E-01
2023-06-16,5.44E-01
2023-06-17,4.01E-01
2023-06-18,4.41E-01
2023-06-19,4.53E-01
2023-06-20,3.39E-01
2023-06-21,4.48E-01
2023-06-22,4.07E-01
2023-06-23,3.99E-01
2023-06-24,5.52E-01
2023-06-25,4.18E-01
2023-06-26,4.18E-01
2023-06-27,4.32E-01
2023-06-28,5.01E-01
2023-06-29,4.75E-01
2023-06-30,7.39E-01
2023-07-01,5.78E-01
2023-07-02,3.68E-01
2023-07-03,3.58E-01
2023-07-04,2.72E-01
2023-07-05,4.37E-01
2023-07-06,4.98E-01
2023-07-07,6.72E-01
2023-07-08,6.22E-01
2023-07-09,3.30E-01
2023-07-10,4.11E-01
2023-07-11,4.07E-01
2023-07-12,4.07E-01
2023-07-13,3.67E-01
2023-07-14,5.14E-01
2023-07-15,6.14E-01
2023-07-16,4.05E-01
2023-07-17,1.95E-01
2023-07-18,2.71E-01
2023-07-19,3.51E-01
2023-07-20,6.16E-01
2023-07-21,6.28E-01
2023-07-22,5.30E-01
2023-07-23,4.53E-01
2023-07-24,4.69E-01
2023-07-25,2.93E-01
2023-07-26,3.44E-01
2023-07-27,3.61E-01
2023-07-28,4.97E-01
2023-07-29,5.34E-01
2023-07-30,3.31E-01
2023-07-31,2.38E-01
2023-08-01,3.92E-01
2023-08-02,3.96E-01
2023-08-03,2.84E-01
2023-08-04,3.43E-01
2023-08-05,6.40E-01
2023-08-06,2.63E-01
2023-08-07,4.72E-01
2023-08-08,4.30E-01
2023-08-09,3.01E-01
2023-08-10,3.54E-01
2023-08-11,5.00E-01
2023-08-12,5.65E-01
2023-08-13,3.70E-01
2023-08-14,4.43E-01
2023-08-15,2.65E-01
2023-08-16,3.94E-01
2023-08-17,5.17E-01
2023-08-18,5.30E-01
2023-08-19,5.77E-01
2023-08-20,3.30E-01
2023-08-21,4.13E-01
2023-08-22,4.13E-01
2023-08-23,4.16E-01
2023-08-24,3.33E-01
2023-08-25,6.11E-01
2023-08-26,5.56E-01
2023-08-27,2.53E-01
2023-08-28,3.73E-01
2023-08-29,2.62E-01
2023-08-30,3.60E-01
2023-08-31,5.83E-01
2023-09-01,6.44E-01
2023-09-02,4.13E-01
2023-09-03,3.25E-01
2023-09-04,3.84E-01
2023-09-05,2.62E-01
2023-09-06,4.26E-01
2023-09-07,3.63E-01
2023-09-08,3.40E-01
2023-09-09,5.08E-01
2023-09-10,1.99E-01
2023-09-11,2.87E-01
2023-09-12,3.24E-01
2023-09-13,1.44E-01
2023-09-14,3.22E-01
2023-09-15,4.97E-01
2023-09-16,4.65E-01
2023-09-17,1.79E-01
2023-09-18,2.97E-01
2023-09-19,2.61E-01
2023-09-20,2.67E-01
2023-09-21,3.56E-01
2023-09-22,5.67E-01
2023-09-23,4.11E-01
2023-09-24,1.59E-01
2023-09-25,3.31E-01
2023-09-26,1.25E-01
2023-09-27,1.90E-01
2023-09-28,5.15E-01
2023-09-29,6.29E-01
2023-09-30,5.25E-01
2023-10-01,3.26E-01
2023-10-02,3.85E-01
2023-10-03,3.70E-01
2023-10-04,3.70E-01
2023-10-05,3.45E-01
2023-10-06,4.60E-01
