date,view
2023-02-05,2.08E-01
2023-02-06,2.53E-01
2023-02-07,2.98E-01
2023-02-08,2.70E-01
2023-02-09,2.42E-01
2023-02-10,2.14E-01
2023-02-11,1.04E-01
2023-02-12,1.19E-01
2023-02-13,1.33E-01
2023-02-14,1.48E-01
2023-02-15,1.63E-01
2023-02-16,1.78E-01
2023-02-17,1.10E-01
2023-02-18,1.69E-01
2023-02-19,1.82E-01
2023-02-20,1.95E-01
2023-02-21,1.81E-01
2023-02-22,1.67E-01
2023-02-23,1.53E-01
2023-02-24,9.11E-02
2023-02-25,7.50E-02
2023-02-26,4.16E-01
2023-02-27,5.21E-01
2023-02-28,4.26E-01
2023-03-01,4.79E-01
2023-03-02,5.92E-01
2023-03-03,1.61E-01
2023-03-04,9.95E-02
2023-03-05,5.93E-01
2023-03-06,5.48E-01
2023-03-07,4.44E-01
2023-03-08,6.86E-01
2023-03-09,6.90E-01
2023-03-10,1.55E-01
2023-03-11,1.33E-01
2023-03-12,7.23E-01
2023-03-13,6.36E-01
2023-03-14,5.67E-01
2023-03-15,5.64E-01
2023-03-16,5.85E-01
2023-03-17,1.96E-01
2023-03-18,1.71E-01
2023-03-19,4.50E-01
2023-03-20,6.49E-01
2023-03-21,3.98E-01
2023-03-22,4.58E-01
2023-03-23,4.22E-01
2023-03-24,1.73E-01
2023-03-25,1.11E-01
2023-03-26,4.42E-01
2023-03-27,5.19E-01
2023-03-28,4.31E-01
2023-03-29,4.70E-01
2023-03-30,4.06E-01
2023-03-31,1.64E-01
2023-04-01,8.43E-02
2023-04-02,5.85E-01
2023-04-03,7.60E-01
2023-04-04,5.36E-01
2023-04-05,5.48E-01
2023-04-06,4.83E-01
2023-04-07,1.59E-01
2023-04-08,7.42E-02
2023-04-09,6.68E-01
2023-04-10,6.92E-01
2023-04-11,5.80E-01
2023-04-12,4.27E-01
2023-04-13,4.38E-01
2023-04-14,1.13E-01
2023-04-15,8.18E-02
2023-04-16,5.49E-01
2023-04-17,5.77E-01
2023-04-18,4.24E-01
2023-04-19,4.05E-01
2023-04-20,5.37E-01
2023-04-21,1.45E-01
2023-04-22,5.65E-02
2023-04-23,5.60E-01
2023-04-24,4.99E-01
2023-04-25,3.91E-01
2023-04-26,4.17E-01
2023-04-27,5.05E-01
2023-04-28,2.95E-02
2023-04-29,3.37E-03
2023-04-30,5.65E-02
2023-05-01,7.25E-02
2023-05-02,1.72E-01
2023-05-03,6.98E-01
2023-05-04,7.38E-01
2023-05-05,1.61E-01
2023-05-06,9.02E-02
2023-05-07,6.96E-01
2023-05-08,6.85E-01
2023-05-09,5.13E-01
2023-05-10,7.56E-01
2023-05-11,6.47E-01
2023-05-12,1.69E-01
2023-05-13,4.72E-02
2023-05-14,7.91E-01
2023-05-15,8.12E-01
2023-05-16,6.42E-01
2023-05-17,5.89E-01
2023-05-18,4.97E-01
2023-05-19,1.84E-01
2023-05-20,1.62E-01
2023-05-21,7.25E-01
2023-05-22,8.04E-01
2023-05-23,5.57E-01
2023-05-24,5.57E-01
2023-05-25,5.88E-01
2023-05-26,8.52E-02
2023-05-27,2.95E-02
2023-05-28,7.10E-01
2023-05-29,7.79E-01
2023-05-30,5.70E-01
2023-05-31,5.78E-01
2023-06-01,5.69E-01
2023-06-02,1.16E-01
2023-06-03,6.07E-02
2023-06-04,8.54E-01
2023-06-05,6.81E-01
2023-06-06,6.48E-01
2023-06-07,7.17E-01
2023-06-08,6.90E-01
2023-06-09,1.40E-01
2023-06-10,2.87E-02
2023-06-11,7.19E-01
2023-06-12,7.82E-01
2023-06-13,5.54E-01
2023-06-14,7.42E-01
2023-06-15,7.82E-01
2023-06-16,9.02E-02
2023-06-17,2.36E-02
2023-06-18,8.18E-01
2023-06-19,7.75E-01
2023-06-20,6.32E-01
2023-06-21,4.81E-01
2023-06-22,6.13E-01
2023-06-23,9.61E-02
2023-06-24,3.37E-02
2023-06-25,6.01E-01
2023-06-26,6.44E-01
2023-06-27,5.42E-01
2023-06-28,5.78E-01
2023-06-29,5.10E-01
2023-06-30,6.83E-02
2023-07-01,0.00E+00
2023-07-02,5.69E-01
2023-07-03,7.61E-01
2023-07-04,6.64E-01
2023-07-05,6.50E-01
2023-07-06,6.26E-01
2023-07-07,1.21E-01
2023-07-08,4.05E-02
2023-07-09,8.52E-01
2023-07-10,7.77E-01
2023-07-11,6.91E-01
2023-07-12,6.15E-01
2023-07-13,6.85E-01
2023-07-14,1.23E-01
2023-07-15,9.53E-02
2023-07-16,7.50E-01
2023-07-17,5.16E-01
2023-07-18,5.05E-01
2023-07-19,6.85E-01
