date,view
2022-06-22,262.0
2022-06-23,265.0
2022-06-24,155.0
2022-06-25,129.0
2022-06-26,249.0
2022-06-27,253.0
2022-06-28,238.0
2022-06-29,276.0
2022-06-30,241.0
2022-07-01,139.0
2022-07-02,115.0
2022-07-03,136.0
2022-07-04,147.0
2022-07-05,195.0
2022-07-06,182.0
2022-07-07,184.0
2022-07-08,98.0
2022-07-09,85.0
2022-07-10,143.0
2022-07-11,147.0
2022-07-12,156.0
2022-07-13,147.0
2022-07-14,171.0
2022-07-15,120.0
2022-07-16,89.0
2022-07-17,149.0
2022-07-18,186.0
2022-07-19,186.0
2022-07-20,149.0
2022-07-21,202.0
2022-07-22,128.0
2022-07-23,115.0
2022-07-24,182.0
2022-07-25,156.0
2022-07-26,189.0
2022-07-27,148.0
2022-07-28,196.0
2022-07-29,140.0
2022-07-30,91.0
2022-07-31,106.0
2022-08-01,123.0
2022-08-02,194.0
2022-08-03,163.0
2022-08-04,174.0
2022-08-05,109.0
2022-08-06,107.0
2022-08-07,226.0
2022-08-08,164.0
2022-08-09,217.0
2022-08-10,193.0
2022-08-11,225.0
2022-08-12,131.0
2022-08-13,87.0
2022-08-14,183.0
2022-08-15,191.0
2022-08-16,38.0
2022-08-17,7.0
2022-08-18,182.0
2022-08-19,122.0
2022-08-20,115.0
2022-08-21,178.0
2022-08-22,172.0
2022-08-23,227.0
2022-08-24,169.0
2022-08-25,209.0
2022-08-26,146.0
2022-08-27,110.0
2022-08-28,168.0
2022-08-29,154.0
2022-08-30,153.0
2022-08-31,71.0
2022-09-01,48.0
2022-09-02,67.0
2022-09-03,85.0
2022-09-04,390.0
2022-09-05,508.0
2022-09-06,405.0
2022-09-07,572.0
2022-09-08,443.0
2022-09-09,221.0
2022-09-10,122.0
2022-09-11,374.0
2022-09-12,395.0
2022-09-13,366.0
2022-09-14,434.0
2022-09-15,390.0
2022-09-16,265.0
2022-09-17,146.0
2022-09-18,389.0
2022-09-19,433.0
2022-09-20,143.0
2022-09-21,367.0
2022-09-22,362.0
2022-09-23,225.0
2022-09-24,74.0
2022-09-25,384.0
2022-09-26,448.0
2022-09-27,427.0
2022-09-28,433.0
2022-09-29,402.0
2022-09-30,254.0
2022-10-01,126.0
2022-10-02,452.0
2022-10-03,489.0
2022-10-04,494.0
2022-10-05,505.0
2022-10-06,485.0
2022-10-07,344.0
2022-10-08,141.0
2022-10-09,487.0
2022-10-10,513.0
2022-10-11,518.0
2022-10-12,467.0
2022-10-13,457.0
2022-10-14,401.0
2022-10-15,132.0
2022-10-16,493.0
2022-10-17,538.0
2022-10-18,451.0
2022-10-19,471.0
2022-10-20,434.0
2022-10-21,330.0
2022-10-22,127.0
2022-10-23,480.0
2022-10-24,467.0
2022-10-25,415.0
2022-10-26,422.0
2022-10-27,436.0
2022-10-28,345.0
2022-10-29,160.0
2022-10-30,414.0
2022-10-31,485.0
2022-11-01,453.0
2022-11-02,404.0
2022-11-03,487.0
2022-11-04,366.0
2022-11-05,95.0
2022-11-06,474.0
2022-11-07,432.0
2022-11-08,482.0
2022-11-09,475.0
2022-11-10,445.0
2022-11-11,397.0
2022-11-12,102.0
2022-11-13,390.0
2022-11-14,402.0
2022-11-15,439.0
2022-11-16,465.0
2022-11-17,447.0
2022-11-18,383.0
2022-11-19,92.0
2022-11-20,396.0
2022-11-21,488.0
2022-11-22,436.0
2022-11-23,402.0
2022-11-24,457.0
2022-11-25,374.0
2022-11-26,143.0
2022-11-27,370.0
2022-11-28,373.0
2022-11-29,363.0
2022-11-30,429.0
2022-12-01,358.0
2022-12-02,344.0
2022-12-03,123.0
2022-12-04,412.0
2022-12-05,397.0
2022-12-06,407.0
2022-12-07,385.0
2022-12-08,456.0
2022-12-09,359.0
2022-12-10,116.0
2022-12-11,382.0
2022-12-12,367.0
2022-12-13,401.0
2022-12-14,440.0
2022-12-15,466.0
2022-12-16,404.0
2022-12-17,118.0
2022-12-18,403.0
2022-12-19,356.0
2022-12-20,308.0
2022-12-21,374.0
2022-12-22,345.0
2022-12-23,355.0
2022-12-24,128.0
2022-12-25,336.0
2022-12-26,272.0
2022-12-27,263.0
2022-12-28,161.0
2022-12-29,216.0
2022-12-30,161.0
2022-12-31,84.0
2023-01-01,135.0
2023-01-02,291.0
2023-01-03,214.0
2023-01-04,274.0
2023-01-05,200.0
2023-01-06,142.0
2023-01-07,138.0
2023-01-08,158.0
2023-01-09,134.0
2023-01-10,138.0
2023-01-11,159.0
2023-01-12,120.0
2023-01-13,101.0
2023-01-14,76.0
2023-01-15,122.0
2023-01-16,92.0
2023-01-17,67.0
2023-01-18,12.0
2023-01-19,8.0
2023-01-20,1.0
2023-01-21,1.0
2023-01-22,4.0
2023-01-23,10.0
2023-01-24,6.5
2023-01-25,3.0
2023-01-26,28.0
2023-01-27,47.0
2023-01-28,67.0
2023-01-29,88.0
2023-01-30,85.0
2023-01-31,132.0
2023-02-01,114.0
2023-02-02,150.0
2023-02-03,102.0
2023-02-04,106.0
2023-02-05,412.0
2023-02-06,410.0
2023-02-07,404.0
2023-02-08,370.0
2023-02-09,475.0
2023-02-10,343.0
2023-02-11,133.0
2023-02-12,373.0
2023-02-13,347.0
2023-02-14,480.0
2023-02-15,502.0
2023-02-16,374.0
2023-02-17,343.0
2023-02-18,105.0
2023-02-19,427.0
2023-02-20,404.0
2023-02-21,471.0
2023-02-22,333.0
2023-02-23,350.0
2023-02-24,357.0
2023-02-25,105.0
2023-02-26,345.0
2023-02-27,380.0
2023-02-28,419.0
2023-03-01,335.0
2023-03-02,338.0
2023-03-03,286.0
2023-03-04,143.0
2023-03-05,391.0
2023-03-06,320.0
2023-03-07,380.0
2023-03-08,331.0
2023-03-09,392.0
2023-03-10,297.0
2023-03-11,112.0
2023-03-12,411.0
2023-03-13,388.0
2023-03-14,414.0
2023-03-15,361.0
2023-03-16,380.0
2023-03-17,368.0
2023-03-18,94.0
2023-03-19,425.0
2023-03-20,362.0
2023-03-21,407.0
2023-03-22,356.0
2023-03-23,408.0
2023-03-24,324.0
2023-03-25,113.0
2023-03-26,469.0
2023-03-27,363.0
2023-03-28,378.0
2023-03-29,369.0
2023-03-30,378.0
2023-03-31,376.0
2023-04-01,93.0
2023-04-02,419.0
2023-04-03,431.0
2023-04-04,429.0
2023-04-05,378.0
2023-04-06,406.0
2023-04-07,337.0
2023-04-08,120.0
2023-04-09,413.0
2023-04-10,444.0
2023-04-11,484.0
2023-04-12,386.0
2023-04-13,383.0
2023-04-14,402.0
2023-04-15,161.0
2023-04-16,382.0
2023-04-17,422.0
2023-04-18,448.0
2023-04-19,391.0
2023-04-20,433.0
2023-04-21,452.0
2023-04-22,123.0
2023-04-23,372.0
2023-04-24,641.0
2023-04-25,430.0
2023-04-26,433.0
2023-04-27,394.0
2023-04-28,58.0
2023-04-29,69.0
2023-04-30,48.0
2023-05-01,68.0
2023-05-02,173.0
2023-05-03,231.0
2023-05-04,241.0
2023-05-05,299.0
2023-05-06,175.0
2023-05-07,350.0
2023-05-08,386.0
2023-05-09,364.0
2023-05-10,349.0
2023-05-11,337.0
2023-05-12,215.0
2023-05-13,180.0
2023-05-14,323.0
2023-05-15,256.0
2023-05-16,353.0
2023-05-17,397.0
2023-05-18,297.0
2023-05-19,259.0
2023-05-20,137.0
2023-05-21,318.0
2023-05-22,287.0
2023-05-23,270.0
2023-05-24,271.0
2023-05-25,323.0
2023-05-26,235.0
2023-05-27,106.0
2023-05-28,388.0
2023-05-29,316.0
2023-05-30,290.0
2023-05-31,298.0
2023-06-01,276.0
2023-06-02,224.0
2023-06-03,166.0
2023-06-04,294.0
2023-06-05,360.0
2023-06-06,274.0
2023-06-07,338.0
2023-06-08,261.0
2023-06-09,204.0
2023-06-10,84.0
2023-06-11,255.0
2023-06-12,279.0
2023-06-13,336.0
2023-06-14,273.0
2023-06-15,279.0
2023-06-16,132.0
2023-06-17,94.0
2023-06-18,252.0
2023-06-19,300.0
2023-06-20,315.0
2023-06-21,263.0
2023-06-22,274.0
2023-06-23,194.0
2023-06-24,109.0
2023-06-25,231.0
2023-06-26,266.0
2023-06-27,271.0
2023-06-28,291.0
2023-06-29,244.0
2023-06-30,196.0
2023-07-01,100.0
2023-07-02,288.0
2023-07-03,302.0
2023-07-04,328.0
2023-07-05,257.0
2023-07-06,307.0
2023-07-07,225.0
2023-07-08,98.0
2023-07-09,283.0
2023-07-10,274.0
2023-07-11,286.0
2023-07-12,277.0
2023-07-13,255.0
2023-07-14,251.0
2023-07-15,92.0
2023-07-16,241.0
2023-07-17,282.0
2023-07-18,337.0
2023-07-19,268.0
2023-07-20,207.0
2023-07-21,179.0
2023-07-22,110.0
2023-07-23,251.0
2023-07-24,205.0
2023-07-25,275.0
2023-07-26,280.0
2023-07-27,228.0
2023-07-28,254.0
2023-07-29,88.0
2023-07-30,184.0
2023-07-31,143.0
2023-08-01,219.0
2023-08-02,146.0
2023-08-03,143.0
2023-08-04,229.0
2023-08-05,109.0
2023-08-06,172.0
2023-08-07,172.0
2023-08-08,142.0
2023-08-09,117.0
2023-08-10,142.0
2023-08-11,98.0
2023-08-12,78.0
2023-08-13,174.0
2023-08-14,186.0
2023-08-15,180.0
2023-08-16,149.0
2023-08-17,131.0
2023-08-18,98.0
2023-08-19,84.0
2023-08-20,137.0
2023-08-21,112.0
2023-08-22,123.0
2023-08-23,101.0
2023-08-24,172.0
2023-08-25,134.0
2023-08-26,131.0
2023-08-27,330.0
2023-08-28,328.0
2023-08-29,290.0
2023-08-30,314.0
2023-08-31,67.0
2023-09-01,52.0
2023-09-02,58.0
2023-09-03,218.0
2023-09-04,302.0
2023-09-05,314.0
2023-09-06,306.0
2023-09-07,282.0
2023-09-08,313.0
2023-09-09,123.0
2023-09-10,360.0
2023-09-11,292.0
2023-09-12,330.0
2023-09-13,315.0
2023-09-14,300.0
2023-09-15,317.0
2023-09-16,104.0
2023-09-17,354.0
2023-09-18,386.0
2023-09-19,331.0
2023-09-20,388.0
2023-09-21,354.0
2023-09-22,269.0
2023-09-23,146.0
2023-09-24,372.0
2023-09-25,392.0
2023-09-26,368.0
2023-09-27,378.0
2023-09-28,309.0
2023-09-29,253.0
2023-09-30,86.0
2023-10-01,329.0
2023-10-02,428.0
2023-10-03,317.0
2023-10-04,378.0
2023-10-05,351.0
2023-10-06,288.0
